ﲥ Arabic Ligature Teh With Heh Initial Form
ﳹ Arabic Ligature Ghain With Alef Maksura Isolated Form
ﭯ Arabic Letter Peheh Final Form
ﲦ Arabic Ligature Theh With Meem Initial Form
ﳺ Arabic Ligature Ghain With Yeh Isolated Form
ﭰ Arabic Letter Peheh Initial Form
ﲧ Arabic Ligature Jeem With Hah Initial Form
ﳻ Arabic Ligature Seen With Alef Maksura Isolated Form
ﭱ Arabic Letter Peheh Medial Form
ﲨ Arabic Ligature Jeem With Meem Initial Form
ﳼ Arabic Ligature Seen With Yeh Isolated Form
ﭲ Arabic Letter Dyeh Isolated Form
ﲩ Arabic Ligature Hah With Jeem Initial Form
ﳽ Arabic Ligature Sheen With Alef Maksura Isolated Form
ﭳ Arabic Letter Dyeh Final Form
ﲪ Arabic Ligature Hah With Meem Initial Form
ﳾ Arabic Ligature Sheen With Yeh Isolated Form
ﭴ Arabic Letter Dyeh Initial Form
ﲫ Arabic Ligature Khah With Jeem Initial Form
ﳿ Arabic Ligature Hah With Alef Maksura Isolated Form
ﭵ Arabic Letter Dyeh Medial Form
ﲬ Arabic Ligature Khah With Meem Initial Form
ﴀ Arabic Ligature Hah With Yeh Isolated Form
ﭶ Arabic Letter Nyeh Isolated Form
ﲭ Arabic Ligature Seen With Jeem Initial Form
ﴁ Arabic Ligature Jeem With Alef Maksura Isolated Form
ﭷ Arabic Letter Nyeh Final Form
ﲮ Arabic Ligature Seen With Hah Initial Form
ﴂ Arabic Ligature Jeem With Yeh Isolated Form
ﭸ Arabic Letter Nyeh Initial Form
ﲯ Arabic Ligature Seen With Khah Initial Form
ﴃ Arabic Ligature Khah With Alef Maksura Isolated Form
ﭹ Arabic Letter Nyeh Medial Form
ﲰ Arabic Ligature Seen With Meem Initial Form
ﴄ Arabic Ligature Khah With Yeh Isolated Form
ﭺ Arabic Letter Tcheh Isolated Form
ﲱ Arabic Ligature Sad With Hah Initial Form
ﴅ Arabic Ligature Sad With Alef Maksura Isolated Form
ﭻ Arabic Letter Tcheh Final Form
ﲲ Arabic Ligature Sad With Khah Initial Form
ﴆ Arabic Ligature Sad With Yeh Isolated Form
ﭼ Arabic Letter Tcheh Initial Form
ﲳ Arabic Ligature Sad With Meem Initial Form
ﴇ Arabic Ligature Dad With Alef Maksura Isolated Form
ﭽ Arabic Letter Tcheh Medial Form
ﲴ Arabic Ligature Dad With Jeem Initial Form
ﴈ Arabic Ligature Dad With Yeh Isolated Form
ﭾ Arabic Letter Tcheheh Isolated Form
ﲵ Arabic Ligature Dad With Hah Initial Form
ﴉ Arabic Ligature Sheen With Jeem Isolated Form
ﭿ Arabic Letter Tcheheh Final Form
ﲶ Arabic Ligature Dad With Khah Initial Form
ﴊ Arabic Ligature Sheen With Hah Isolated Form
ﮀ Arabic Letter Tcheheh Initial Form
ﲷ Arabic Ligature Dad With Meem Initial Form
