(⊃‿⊂) hide
|_・) hide
|･ω･｀) hide
｜−・;） hide
|ω・） hide
|ω･)و ̑̑༉ hide
( ͒•·̫| hide
┬┴┬┴┤(･_├┬┴┬┴ hide
ﾍ(･_| hide
|₋ॢọ̶̶̷̥᷅๑)‧˚⁺ hide
(´°̥̥̥̥̥̥̥̥ω°̥̥̥̥̥̥̥̥｀) sad, cry
(∩︵∩) sad
(︶︹︺) sad
(╥_╥) sad, cry
(っ˘̩╭╮˘̩)っ sad, hug
ಥ_ಥ sad
(T⌓T) sad
( ꒪Д꒪)ノ surprised
(((( ;°Д°)))) surprised
((((；゜Д゜))) surprised
（゜◇゜） surprised
（￣□￣；） surprised, surrender
∑(O_O；) surprised
＼(>o<)ノ surprised
━Σ(ﾟДﾟ|||)━ surprised
Σ(゜ロ゜;) surprised
Σ(゜゜) surprised
(*ﾟﾛﾟ) surprised
щ(゜ロ゜щ) surprised
(ﾉﾟ0ﾟ)ﾉ~ surprised
⊙▂⊙ surprised
⊙０⊙ surprised
w(°ｏ°)w surprised
L(・o・)」 surprised
(○o○) surprised
（・□・；） surprised
∑(;°Д°) surprised
(´⊙ω⊙`)！ surprised
\(*0*)/ surprised
(^_^;) embarassed
(^^ゞ embarassed
(^^;) embarassed
(#^.^#) embarassed, kiss
(‘-’*) embarassed
(*^^*) embarassed
(⌒_⌒;) embarassed
(#｀ε´#ゞ embarassed
（*/∇＼*） embarassed
(〃￣ω￣〃ゞ embarassed
(*´ｪ｀*) embarassed
(*´∀`*) embarassed
(*´_ゝ｀) embarassed
(/ω＼) embarassed
(*ﾉ▽ﾉ) embarassed
(*ﾉωﾉ) embarassed
（/｡＼) embarassed
（。-＿-。） embarassed
(#／。＼#) embarassed
(╯_╰) embarassed
(╯ಊ╰) embarassed
(ﾉ)´∀｀(ヾ) embarassed
(*/ω＼*) embarassed
\(//∇//)\ embarassed
(*ﾟｰﾟ)ゞ embarassed
\(///Σ///)\ embarassed
（//･_･//) embarassed
(⊙﹏⊙✿) embarassed, crazy
(<o///v>) embarassed
(´･_･`) confused
(◎_◎;) confused
(｀_´)ゞ confused
(◎-◎；) confused
(・_・ヾ confused
(￣(エ)￣)ゞ confused
(-_-)ゞ゛ confused
(‘◇’)? confused
ヽ(゜Q。)ノ？ confused
(´｀;) ？ confused
【・ヘ・?】 confused
【・_・?】 confused
( ・◇・)？ confused
(゜-゜) confused
ヾ(´･ ･｀｡)ノ” confused
｢(ﾟﾍﾟ) confused
( ?´_ゝ｀) confused
o(´^｀)o confused, smug
(´−｀) ﾝｰ confused
(」ﾟヘﾟ)」 confused
(•ิ_•ิ)? confused
「(°ヘ°) confused
(。ヘ°) confused, crazy
〈(゜。゜) confused
(゜。゜) confused
く（＾_・）ゝ confused
(^～^;)ゞ confused
٩(͡๏̯͡๏)۶ confused, surprised
٩(̾●̮̮̃̾•̃̾)۶ confused, angry
(⊙_◎) confused, crazy
ಠ_ರೃ confused, stare
щ(ºДºщ) confused
﴾͡๏̯͡๏﴿ confused
ఠ_ఠ confused
(●__●) confused
(ﾟｰﾟ; confused
(●´ω｀●)ゞ confused
(＃⌒∇⌒＃)ゞ confused
(・・。)ゞ confused
⁀⊙﹏☉⁀ confused, crazy
(♠_♦) confused, crazy
(⊙_☉) confused
(⊙.☉)7 confused
`(๑ △ ๑)`* confused, crazy
(」ﾟﾛﾟ)｣ confused
(C_C) confused
ー(￣～￣)ξ smug
(((￣へ￣井) smug
(`へ´*)ノ smug
(￣^￣) smug
（￣へ￣） smug
（￣～￣;） smug
(￣ェ￣;) smug
(-、-) smug
( ；｀ヘ´) smug
(￣ω￣;) smug
（｀＾´）ノ smug
<(￣︶￣)> smug
(=^･ｪ･^=) cat
(=^‥^=) cat
(=^･^=) cat
V(=^･ω･^=)v cat
(=｀ω´=) cat
o(^・x・^)o cat
＼(=^‥^)/’` cat
( =①ω①=) cat
d(=^･ω･^=)b cat
(=ＴェＴ=) cat
(=;ェ;=) cat
(=^･ω･^)y＝ cat
(^-人-^) cat
ヽ(^‥^=ゞ) cat, dance
(^・ω・^ ) cat
(=^-ω-^=) cat
b(=^‥^=)o cat
(.=^・ェ・^=) cat
（=´∇｀=） cat
ヾ(=ﾟ･ﾟ=)ﾉ cat
~(=^‥^)ノ cat
~(=^‥^)/ cat
(=ｘェｘ=) cat, dead
(=；ェ；=) cat
(=｀ェ´=) cat
(^･o･^)ﾉ” cat
