ʹ Greek Numeral Sign
ς Greek Small Letter Final Sigma
ͼ Greek Small Dotted Lunate Sigma Symbol
Ͼ Greek Capital Dotted Lunate Sigma Symbol
ͻ Greek Small Reversed Lunate Sigma Symbol
Ͻ Greek Capital Reversed Lunate Sigma Symbol
ͽ Greek Small Reversed Dotted Lunate Sigma Symbol
Ͽ Greek Capital Reversed Dotted Lunate Sigma Symbol
τ Greek Small Letter Tau
Τ Greek Capital Letter Tau
υ Greek Small Letter Upsilon
Υ Greek Capital Letter Upsilon
ϒ Greek Upsilon With Hook Symbol
ὐ Greek Small Letter Upsilon With Psili
ὔ Greek Small Letter Upsilon With Psili And Oxia
ὒ Greek Small Letter Upsilon With Psili And Varia
ὖ Greek Small Letter Upsilon With Psili And Perispomeni
ὑ Greek Small Letter Upsilon With Dasia
Ὑ Greek Capital Letter Upsilon With Dasia
ὕ Greek Small Letter Upsilon With Dasia And Oxia
Ὕ Greek Capital Letter Upsilon With Dasia And Oxia
ὓ Greek Small Letter Upsilon With Dasia And Varia
Ὓ Greek Capital Letter Upsilon With Dasia And Varia
ὗ Greek Small Letter Upsilon With Dasia And Perispomeni
Ὗ Greek Capital Letter Upsilon With Dasia And Perispomeni
ύ Greek Small Letter Upsilon With Tonos
ύ Greek Small Letter Upsilon With Oxia
Ύ Greek Capital Letter Upsilon With Tonos
Ύ Greek Capital Letter Upsilon With Oxia
ϓ Greek Upsilon With Acute And Hook Symbol
ὺ Greek Small Letter Upsilon With Varia
Ὺ Greek Capital Letter Upsilon With Varia
ῠ Greek Small Letter Upsilon With Vrachy
Ῠ Greek Capital Letter Upsilon With Vrachy
ῦ Greek Small Letter Upsilon With Perispomeni
ϋ Greek Small Letter Upsilon With Dialytika
Ϋ Greek Capital Letter Upsilon With Dialytika
ϔ Greek Upsilon With Diaeresis And Hook Symbol
ΰ Greek Small Letter Upsilon With Dialytika And Tonos
ΰ Greek Small Letter Upsilon With Dialytika And Oxia
ῢ Greek Small Letter Upsilon With Dialytika And Varia
ῧ Greek Small Letter Upsilon With Dialytika And Perispomeni
ῡ Greek Small Letter Upsilon With Macron
Ῡ Greek Capital Letter Upsilon With Macron
φ Greek Small Letter Phi
ϕ Greek Phi Symbol
Φ Greek Capital Letter Phi
ᵩ Greek Subscript Small Letter Phi
χ Greek Small Letter Chi
Χ Greek Capital Letter Chi
ᵪ Greek Subscript Small Letter Chi
ψ Greek Small Letter Psi
Ψ Greek Capital Letter Psi
ᴪ Greek Letter Small Capital Psi
ω Greek Small Letter Omega
Ω Greek Capital Letter Omega
ὠ Greek Small Letter Omega With Psili
Ὠ Greek Capital Letter Omega With Psili
ὤ Greek Small Letter Omega With Psili And Oxia
Ὤ Greek Capital Letter Omega With Psili And Oxia
ᾤ Greek Small Letter Omega With Psili And Oxia And Ypogegrammeni
ᾬ Greek Capital Letter Omega With Psili And Oxia And Prosgegrammeni
ὢ Greek Small Letter Omega With Psili And Varia
Ὢ Greek Capital Letter Omega With Psili And Varia
ᾢ Greek Small Letter Omega With Psili And Varia And Ypogegrammeni
ᾪ Greek Capital Letter Omega With Psili And Varia And Prosgegrammeni
ὦ Greek Small Letter Omega With Psili And Perispomeni
Ὦ Greek Capital Letter Omega With Psili And Perispomeni
ᾦ Greek Small Letter Omega With Psili And Perispomeni And Ypogegrammeni
ᾮ Greek Capital Letter Omega With Psili And Perispomeni And Prosgegrammeni
ᾠ Greek Small Letter Omega With Psili And Ypogegrammeni
ᾨ Greek Capital Letter Omega With Psili And Prosgegrammeni
ὡ Greek Small Letter Omega With Dasia
Ὡ Greek Capital Letter Omega With Dasia
ὥ Greek Small Letter Omega With Dasia And Oxia
Ὥ Greek Capital Letter Omega With Dasia And Oxia
ᾥ Greek Small Letter Omega With Dasia And Oxia And Ypogegrammeni
ᾭ Greek Capital Letter Omega With Dasia And Oxia And Prosgegrammeni
ὣ Greek Small Letter Omega With Dasia And Varia
Ὣ Greek Capital Letter Omega With Dasia And Varia
ᾣ Greek Small Letter Omega With Dasia And Varia And Ypogegrammeni
ᾫ Greek Capital Letter Omega With Dasia And Varia And Prosgegrammeni
ὧ Greek Small Letter Omega With Dasia And Perispomeni
Ὧ Greek Capital Letter Omega With Dasia And Perispomeni
ᾧ Greek Small Letter Omega With Dasia And Perispomeni And Ypogegrammeni
ᾯ Greek Capital Letter Omega With Dasia And Perispomeni And Prosgegrammeni
ᾡ Greek Small Letter Omega With Dasia And Ypogegrammeni
ᾩ Greek Capital Letter Omega With Dasia And Prosgegrammeni
ώ Greek Small Letter Omega With Tonos
ώ Greek Small Letter Omega With Oxia
Ώ Greek Capital Letter Omega With Tonos
Ώ Greek Capital Letter Omega With Oxia
ῴ Greek Small Letter Omega With Oxia And Ypogegrammeni
ὼ Greek Small Letter Omega With Varia
Ὼ Greek Capital Letter Omega With Varia
ῲ Greek Small Letter Omega With Varia And Ypogegrammeni
ῶ Greek Small Letter Omega With Perispomeni
ῷ Greek Small Letter Omega With Perispomeni And Ypogegrammeni
ῳ Greek Small Letter Omega With Ypogegrammeni
ῼ Greek Capital Letter Omega With Prosgegrammeni
ꭥ Greek Letter Small Capital Omega
ϡ Greek Small Letter Sampi
Ϡ Greek Letter Sampi
ͳ Greek Small Letter Archaic Sampi
Ͳ Greek Capital Letter Archaic Sampi
ϸ Greek Small Letter Sho
Ϸ Greek Capital Letter Sho
