哮 Hyo
哯 Hyen
哰 Lo
哱 Pal
哲 Chel
哳 Chal
哶 Ma
哷 Lyel
哹 Pwu
哺 Pho
哼 Hyeng
哽 Kyeng
哿 Ka
唀 Yu
唁 En
唄 Phay
唅 Ham
唆 Sa
唇 Cin
唈 Up Ap
唉 Ay
唊 Kyep
唌 Yen Tan
唍 Wan
唎 Li
唏 Huy
唐 Tang
唔 O
唕 Co
唖 A
唚 Chim
唜 Mal
唟 Kes
唤 Hwan
唪 Pong
唫 Kum
唬 Ho
唭 Ki
售 Swu
唯 Yu
唱 Chang
唲 A Ay
唳 Lye
唴 Kang
唵 An
唶 Cha Chayk
唷 Yuk
唸 Cem Cen
唹 E
唼 Sap
唾 Tha
唿 Hol
啀 Ay
啁 Co Cwu
啂 Nyo
啃 Sap
啄 Thak
啅 Thak
商 Sang
啇 Cek
啉 Lam
啊 A
啋 Kyo Hyo
啍 Thon
啎 O
問 Mwun
啐 Chway Cwul
啑 Cap Sap Chey
啓 Kyey
啕 To
啖 Tam
啗 Tam
啙 Ca
啚 Pi
啜 Chel
啝 Wa
啞 A
啟 Kyey
啡 Pay Pi
啣 Ham
啻 Si
啼 Cey
啽 Am
啾 Chwu
啿 Tam Cam
喀 Kayk
喁 Ong Wu
喃 Nam
善 Sen
喅 Yuk
喆 Chel
喇 Lal La
喈 Kay
喉 Hwu
喊 Ham
喋 Chep Cap
喌 Cwu Cwuk
喍 Cay
喏 Ya
喑 Um
喒 Cam
喓 Yo
喔 Ak
喗 Wun
喘 Chen
喙 Hwey
喚 Hwan
喛 Hwan
喜 Huy
喝 Kal Ay
喞 Cul Cik
喟 Wi Koy
喠 Cong
喣 Hwu
喤 Hwang
喦 Yep
喧 Hwen
喨 Lyang
喩 Yu
喪 Sang
喫 Kkik
喬 Kyo
喭 An En
單 Tan Sen
喰 Sik
喲 Yak
喳 Sa
営 Yeng
喸 Phos
喻 Yu
喿 So
嗀 Hak
嗁 Cey
嗂 Yo
嗃 Hyo Hak
嗄 Sa Ay
嗅 Hwu
嗆 Chang
嗇 Sayk
嗈 Ong
嗉 So
嗊 Hong
嗋 Hyep
嗌 I Ayk
嗎 Ma
嗐 Hal Hay
嗑 Hap
嗒 Thap
嗓 Sang
嗔 Cin
嗕 Yok
嗙 Pang
嗚 O
嗛 Kyem
嗜 Ki
嗝 Kyek
嗞 Ca
嗟 Cha
嗠 La
嗡 Ong
嗢 Ol
嗣 Sa
嗤 Chi
嗧 Lyun
嗩 Sway
嗭 Cis
嗶 Phil
嗷 O
嗸 O
嗹 Lyen
嗺 Choy
嗻 Cha
嗼 Mak
嗽 Swu
嗾 Cwu
嗿 Tham
嘁 Chuk
嘂 Kyo
嘄 Kyo
嘅 Kay
嘆 Than
嘇 Sam
嘈 Co
嘉 Ka
嘊 Ay
嘌 Phyo
嘍 Lwu
嘎 Al
嘏 Ha Ka
嘐 Kyo
嘑 Ho
嘒 Hyey
嘓 Koyk
嘔 Kwu Hwu
嘕 En
嘖 Chayk
嘗 Sang
嘘 He
嘛 Ma
嘞 Luk
嘟 To
嘠 Al Kal
嘨 So
嘩 Hwa
嘫 Yen
嘬 Choy
嘮 Cho
嘯 So
嘰 Ki
嘱 Chok
嘲 Co
嘳 Koy
嘴 Chwi
嘵 Hyo
嘶 Si
嘷 Ho
嘸 Mwu
嘹 Lyo
嘺 Kyo
嘻 Huy
嘼 Hyu
嘽 Than Chen
嘾 Tam
嘿 Mwuk
噀 Son
噁 O
噂 Cwun
噃 Pen
噅 Wi
噆 Cham
噇 Tam
噈 Chwuk
噉 Tam
噊 Yul Swul
噋 Thon
噌 Cayng Cung
噍 Cho
噎 Yel
噏 Hup
噐 Ki
噓 He
噕 Wi
噞 Em
噠 Tal
噢 Wuk Wu
噣 Cwu Thak
噤 Kum
噥 Nong
噦 El Hway
噧 Hway
器 Ki
噩 Ak
噪 Co
噫 Huy Ay
噬 Se
噭 Kyo
噮 Yen
噯 Ay
噰 Ong
噱 Kyak
噲 Khway
噳 Wu
噴 Pwun
噶 Kal
噸 Thon
噺 Sin
嚀 Nyeng
嚂 Lam
嚃 Thap
嚄 Hoyk
嚅 Yu
嚆 Hyo
嚇 Ha Hyek
嚊 Pi
嚌 Cey
嚍 Cin
嚎 Ho
嚏 Chey
嚔 Chey
嚕 Lo
嚗 Pak
嚘 Wu
嚙 Kyo
嚚 Un
嚛 Hak
嚜 Mwuk May
嚠 Lyu
嚢 Nang
嚥 Yen
嚦 Lyek
嚧 Lo
嚨 Long
嚪 Tam
嚫 Chin
嚬 Pin
嚭 Pi
嚮 Hyang
嚱 Huy
嚲 Tha
嚳 Ko
嚴 Em
嚶 Ayng
嚷 Yang
嚻 Hyo
嚼 Cak
嚾 Hwan Hwen
囀 Cen
囁 Sep Yep
囂 Hyo
囃 Cap
囅 Chen Chel
囆 Chay
囈 Yey
囉 La
囊 Nang
囋 Chal Chan
囍 Huy
囏 Kan
囐 Cal
囑 Chok
囒 Lan
囓 Sel Nyel
囗 Kwuk Wi
囙 In
囚 Swu
四 Sa
囝 Ken
回 Hoy
囟 Sin
因 In
団 Tan
囤 Ton
囦 Yen
囧 Kyeng
囩 Wun
囪 Chang Chong
囫 Hol
囬 Hoy
园 Wan
囮 Wa
困 Kon
囱 Chong Chang
囲 Wi
図 To
囶 Kwuk
囷 Kyun
囹 Lyeng
固 Ko
国 Kwuk
囿 Yu
圀 Kwuk
圁 Un
圂 Hon
圃 Pho
圄 E
圅 Ham
圇 Lyun
圈 Kwen
圉 E
圊 Cheng
國 Kwuk
圌 Chen
圍 Wi
圎 Wen
圏 Kwen
園 Wen
圓 Wen
圖 To
圗 To
團 Tan
圛 Yek
圜 Wen Hwan
圝 Lan
土 Tho Twu
圥 Lok
圧 Ap
在 Cay
圬 O
圭 Kyu
圮 Pi
地 Ci
圻 Ki Un
圾 Kup
址 Ci
坂 Phan
均 Kyun
坊 Pang
坌 Pwun
坍 Tam
坎 Kam
坏 Pay
坐 Cwa
坑 Kayng
坡 Pha
坤 Kon
坦 Than
坧 Chek
坨 I
坩 Kam
坪 Phyeng
坫 Cem
坮 Tay
坯 Pay
坰 Kyeng
坱 Ang
坳 Yo
坵 Kwu
坷 Ka
坸 Kwu
坻 Ci
坼 Thak
垂 Swu
垈 Tay
型 Hyeng
垌 Tong
垓 Hay
垕 Hwu
垞 Tha
垠 Un
垢 Kwu
垣 Wen
垤 Cil
垩 Seng
垸 Wan
垽 Un
埃 Ay
埆 Kak
埇 Yong
埈 Cwun
埉 Hyep
埋 May
城 Seng
埏 Yen
埑 Chel
埒 Lal
埜 Ya
域 Yek
埠 Pwu
埤 Pi
埭 Thay
埰 Chay
埳 Kam
埴 Sik Chi
執 Cip
培 Pay Pwu
基 Ki
埻 Cwun
埼 Ki
埽 So
堀 Kwul
堂 Tang
堃 Kon
堅 Kyen
堆 Thoy
堇 Kun
堈 Kang
堉 Yuk
堊 Ak
堋 Pwul
堕 Tha Hyu
堗 Tol
堙 In
堝 Kwa
堞 Chep
堠 Hwu
堡 Po
堣 Yu
堤 Cey
堦 Kyey
堧 Yen
堪 Kam
堯 Yo
堰 En
報 Po Pwu
場 Cang
堵 To
堺 Kyey
塀 Pyeng
塉 Chek
塊 Koy
塋 Yeng
塌 Thap
塍 Sup
塏 Kay
塐 So
塑 So
塒 Si
塔 Thap
塗 To
塘 Tang
塙 Ko
塚 Chong
塜 Pong
塞 Say Sayk
塡 Cen Cin
塢 O
塤 Hwun
塩 Yem
填 Cen Cin
塵 Cin
塹 Cham
塼 Cen
塽 Sang
塾 Swuk
墀 Ci
墁 Man
境 Kyeng
墅 Se
墉 Yong
墊 Cem
墍 Ki
墐 Kun
墓 Myo
増 Cung
墜 Chwu
墝 Yo
增 Cung
墟 He
墡 Sen
墣 Pok
墨 Mwuk
墩 Ton
墫 Cwun
墮 Tha
墰 Tam
墱 Tung
墳 Pwun
墺 O Ok
墻 Cang
墾 Kan
壁 Pyek
壃 Kang
壅 Ong
壇 Tan
壌 Yang
壎 Hwun
壑 Hak
壓 Ap
壔 To
壕 Ho
壘 Lwu Yu
壙 Kwang
壚 Lo
壜 Tam
壝 Yu
壞 Koy Hoy
壟 Long
壤 Yang
壩 Pha
士 Sa
壬 Im
壮 Cang
壯 Cang
声 Seng
壱 Il
売 May
壹 Il
壺 Ho
壻 Se
壼 Ho
壽 Swu
夆 Pong
夈 Cay
変 Pyen
夏 Ha
夐 Hyeng
夔 Ki
夕 Sek Sa
外 Oy
夙 Swuk
多 Ta
夜 Ya
夞 Uys
夢 Mong
夤 In
夥 Kwa Hay
大 Tay Thay
天 Chen
太 Thay
夫 Pwu
夬 Khway
夭 Yo O
央 Ang
夯 Hang
失 Sil
夷 I
夸 Kwa
夻 Kwu
夾 Hyep
奄 Em
奇 Ki
奈 Nay Na
奉 Pong
奌 Cem
奎 Kyu
奏 Cwu
奐 Hwan
契 Kyey Kul
奓 Cha
奔 Pwun
奕 Hyek
套 Thwu Tho
奘 Cang
奚 Hay
奠 Cen
奢 Sa
奥 O Wuk
奧 O Wuk
奨 Cang
奩 Lyem
奪 Thal
奫 Yun
奬 Cang
奭 Sek Hak
奮 Pwun
女 Nye
奴 No
奶 Nay
奸 Kan
好 Ho
妁 Cak
如 Ye
妃 Pi Pay
妄 Mang
妊 Im
妍 Yen
妑 Pha
妒 Thwu
妓 Ki
妖 Yo
妗 Kum
妙 Myo
妝 Cang
妣 Pi
妥 Tha
妧 Wan
妨 Pang
妬 Thwu
妯 Chwuk
妲 Tal
妹 May
妻 Che
妾 Chep
姃 Ceng
姆 Mo
姈 Lyeng
姉 Ca
始 Si
姍 San
姐 Ce
姑 Ko
姒 Sa
姓 Seng
委 Wi
