巡 Tuần
巢 Sào
工 Công
左 Tả
巧 Xảo
差 Sai
己 Kỉ
已 Dĩ
巳 Tị
巴 Ba
巽 Rốn
巾 Cân
帀 Táp
市 Thị
布 Bố
希 Hơi
帑 Nô
帒 Đẫy
帖 Thiếp
帝 Đấy
帥 Soái
師 Sư
帳 Trướng
帶 Đai
常 Thường
帽 Mão
幀 Tranh
幅 Bức
幍 Thao
幔 Màn
幛 Trướng
幟 Xí
幡 Phan
幢 Choàng
幣 Giẻ
干 Can
平 Bình
年 Nên
幻 Ảo
幼 Ấu
庄 Chăng
床 Sàng
序 Tựa
底 Để
店 Điếm
庙 Miếu
庚 Canh
府 Phủ
度 Độ
座 Toà
庫 Kho
庭 Đình
庵 Am
庶 Thứ
康 Khang
廁 Xí
廂 Rương
廈 Hè
廉 Liêm
廊 Lang
廓 Quách
廕 Ấm
廚 Chù
廛 Chờn
廟 Miếu
廠 Xưởng
廡 Vu
廢 Phế
廣 Quảng
廩 Lẫm
延 Dang
廷 Đình
建 Kiến
廾 Trấp
弄 Lộng
弊 Tệ
弋 Dặc
弍 Nhị
式 Thức
弑 Thí
弓 Cung
弔 Điếu
引 Dẫn
弗 Phất
弟 Đệ
弩 Nỏ
弱 Nhược
張 Trương
強 Càng
弼 Bặt
彈 Đàn
彊 Cương
彐 Kí Mự
形 Hình
彩 Thái
彫 Điêu
彬 Băn
彭 Bành
影 Ảnh
彷 Phảng
役 Dịch
彼 Bỉ
彾 Lĩnh
彿 Phớt
往 Vãng
征 Chinh
徂 Tò
待 Đãi
徊 Hồi
律 Luật
後 Hậu
徐 Chờ
徒 Đồ
得 Đắc
徘 Bồi
從 Tòng
徠 Lại
御 Ngự
徬 Bàng
微 Vi
徵 Trưng
德 Đức
徹 Triệt
心 Tâm
必 Tất
忆 Hắt
忇 Sực
忉 Đau
忌 Kị
忍 Nhẫn
忏 Thin
忑 Thắc
忒 Thắc
忖 Thổn
志 Chí
忘 Vong
忙 Mang
忝 Thỏm
